Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Tom Henderson,PG,28,HOU,7,203,13.5,.532,.022,.326,2.8,6.3,4.5,27.6,1.7,1.1,17.3,13.1,,0.3,0.0,0.3,.068,,0.4,1.1,1.5,0.2,1980
Johnny High,PG,22,PHO,8,120,11.2,.421,.065,.516,9.2,13.5,11.4,20.4,2.4,0.9,15.5,15.5,,0.0,0.1,0.1,.045,,-1.6,1.1,-0.5,0.0,1980
Armond Hill,PG,26,ATL,5,109,8.7,.496,.033,.400,1.9,4.3,3.1,21.2,1.9,0.6,23.8,18.2,,-0.1,0.0,0.0,-0.011,,-2.7,-0.7,-3.4,0.0,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Brad Holland,SG,23,LAL,9,32,17.0,.595,.000,.400,6.8,9.9,8.4,12.2,7.3,0.0,20.3,18.2,,0.1,0.1,0.1,.186,,-1.7,6.4,4.7,0.1,1980
Lionel Hollins,SG,26,PHI,18,618,13.6,.472,.043,.292,3.1,9.2,6.3,27.3,2.1,0.3,14.9,21.1,,0.2,0.7,0.9,.067,,0.7,-1.0,-0.2,0.3,1980
Dennis Johnson*,SG,25,SEA,15,582,12.7,.474,.061,.254,4.6,7.5,6.0,14.8,2.3,1.0,13.7,22.2,,0.2,0.6,0.8,.068,,0.6,0.0,0.6,0.4,1980
Eddie Johnson,SG,24,ATL,5,188,18.8,.562,.000,.378,1.7,9.4,5.3,20.1,2.1,0.7,11.3,22.2,,0.4,0.1,0.5,.131,,3.1,0.8,3.9,0.3,1980
John Johnson,SF,32,SEA,15,486,13.8,.534,.006,.234,9.8,13.3,11.5,26.0,0.8,0.3,24.3,19.5,,0.3,0.4,0.7,.068,,1.8,-1.0,0.8,0.3,1980
Magic Johnson*,SG,20,LAL,16,658,22.1,.596,.040,.533,8.6,18.6,13.7,29.8,3.5,0.5,20.9,18.6,,1.7,1.1,2.8,.203,,5.6,2.4,8.0,1.7,1980
Marques Johnson,SF,23,MIL,7,303,14.6,.477,.023,.313,6.4,11.3,8.9,10.3,0.8,1.1,5.2,21.2,,0.4,0.3,0.8,.119,,2.7,-1.4,1.4,0.3,1980
Vinnie Johnson,SG,23,SEA,5,12,11.7,.333,.000,.000,0.0,18.5,9.1,22.2,4.1,0.0,0.0,10.3,,0.0,0.0,0.0,.109,,-1.2,4.5,3.3,0.0,1980
Bobby Jones*,PF,28,PHI,18,470,19.4,.585,.006,.360,7.0,12.8,10.0,10.4,2.2,3.9,10.3,20.0,,1.1,0.8,1.9,.190,,3.8,1.3,5.1,0.8,1980
Caldwell Jones,C,29,PHI,18,639,11.5,.520,.023,.403,8.9,22.3,15.8,7.2,1.0,3.3,19.6,12.5,,0.2,1.1,1.3,.100,,-0.4,0.3,-0.1,0.3,1980
Major Jones,PF,26,HOU,6,70,17.2,.638,.000,.500,13.2,23.1,18.1,8.2,0.0,1.7,15.4,15.6,,0.2,0.0,0.2,.124,,1.6,-0.1,1.5,0.1,1980
Jeff Judkins,SF,23,BOS,7,10,39.8,.563,.375,.000,33.8,11.5,22.8,0.0,4.9,0.0,0.0,33.9,,0.1,0.0,0.1,.370,,18.3,1.7,20.0,0.1,1980
Rich Kelley,C,26,PHO,8,146,16.0,.486,.023,.227,10.6,16.3,13.5,19.1,2.9,2.6,17.1,16.5,,0.1,0.2,0.3,.097,,0.8,2.6,3.4,0.2,1980
Larry Kenon,PF,27,SAS,3,81,3.5,.335,.000,.324,7.7,9.8,8.7,6.9,0.0,0.0,11.4,22.9,,-0.2,-0.1,-0.3,-0.178,,-7.6,-4.6,-12.2,-0.2,1980
Reggie King,PF,22,KCK,3,77,13.6,.501,.000,.429,9.2,26.9,17.4,7.0,0.7,0.0,7.4,14.4,,0.1,0.1,0.2,.112,,-0.5,-0.2,-0.7,0.0,1980
Sam Lacey,C,31,KCK,3,101,11.0,.439,.048,.190,6.0,18.2,11.7,16.3,3.5,1.2,26.0,12.6,,-0.1,0.1,0.1,.038,,-1.9,3.5,1.6,0.1,1980
Tom LaGarde,C,24,SEA,14,163,8.1,.423,.000,.239,8.6,18.4,13.4,10.1,0.6,0.0,12.1,14.6,,0.0,0.2,0.2,.059,,-2.2,-0.9,-3.1,0.0,1980
Mark Landsberger,C,24,LAL,16,195,7.0,.384,.014,.087,14.0,23.9,19.0,1.3,0.7,0.6,12.2,16.5,,-0.1,0.2,0.1,.024,,-3.8,-3.5,-7.3,-0.3,1980
Bob Lanier*,C,31,MIL,7,256,20.9,.565,.000,.416,7.6,20.7,14.3,19.6,1.4,1.8,12.5,22.3,,0.6,0.4,1.1,.199,,5.4,1.1,6.6,0.5,1980
Allen Leavell,PG,22,HOU,7,149,9.8,.413,.105,.553,1.5,7.7,4.6,20.4,2.0,0.0,11.3,15.0,,0.1,0.0,0.1,.019,,-2.8,0.6,-2.2,0.0,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Butch Lee,PG,23,LAL,3,6,-12.3,1.136,,,0.0,17.6,8.9,0.0,0.0,0.0,77.3,25.5,,-0.1,0.0,0.0,-0.372,,-18.9,-6.0,-24.8,0.0,1980
Moses Malone*,C,24,HOU,7,275,24.9,.577,.007,.312,17.6,23.1,20.3,4.3,0.7,3.4,12.3,27.3,,0.8,0.1,0.9,.159,,4.6,-1.0,3.6,0.4,1980
Pete Maravich*,SG,32,BOS,9,104,11.0,.516,.118,.059,0.0,8.9,4.4,9.3,1.4,0.0,14.7,25.0,,-0.1,0.1,0.1,.039,,-1.0,-1.3,-2.3,0.0,1980
Cedric Maxwell,SF,24,BOS,9,320,21.8,.684,.000,.656,10.9,21.2,16.0,8.8,0.8,1.9,15.5,18.8,,1.1,0.6,1.7,.255,,6.1,0.3,6.4,0.7,1980
Jim McElroy,PG,26,ATL,5,32,12.2,.536,.111,.556,3.3,3.7,3.5,19.7,0.0,0.0,15.2,17.7,,0.0,0.0,0.0,.053,,1.6,-2.2,-0.6,0.0,1980
Billy McKinney,PG,24,KCK,3,34,6.6,.400,.200,.000,5.9,3.4,4.7,29.1,0.0,0.0,37.5,9.7,,0.0,0.0,0.0,-0.028,,-1.8,-2.2,-4.0,0.0,1980
Dave Meyers,PF,26,MIL,7,195,10.1,.439,.048,.484,9.4,10.8,10.1,10.4,2.3,1.8,16.6,19.4,,-0.2,0.3,0.1,.026,,-1.0,0.0,-1.0,0.0,1980
Steve Mix,SF,32,PHI,17,200,16.1,.522,.000,.292,5.7,11.1,8.5,10.7,1.9,1.4,12.2,26.0,,0.1,0.3,0.4,.098,,1.4,-1.0,0.4,0.1,1980
Sidney Moncrief*,SG,22,MIL,7,182,17.9,.673,.000,.608,10.7,8.5,9.6,9.2,1.4,0.3,17.8,18.1,,0.5,0.2,0.7,.190,,4.6,-0.9,3.7,0.3,1980
