Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Fred Saunders,SF,25,BOS,9,,7.3,1.3,3.7,.364,,,,1.3,3.7,.364,.364,0.6,0.7,.833,0.1,0.9,1.0,0.6,0.1,0.0,,2.3,3.2,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977
Charlie Scott*,SG,28,BOS,9,,37.6,5.8,14.2,.406,,,,5.8,14.2,.406,.406,4.9,5.8,.846,1.7,2.6,4.2,4.2,1.4,0.2,,4.6,16.4,1977
Phil Sellers,SG,23,DET,1,,6.0,1.0,4.0,.250,,,,1.0,4.0,.250,.250,1.0,4.0,.250,1.0,1.0,2.0,0.0,0.0,0.0,,2.0,3.0,1977
Paul Silas,PF,33,DEN,6,,23.5,2.3,5.5,.424,,,,2.3,5.5,.424,.424,2.2,4.0,.542,2.7,4.0,6.7,2.7,0.3,0.7,,3.8,6.8,1977
Ralph Simpson,SG,27,DET,2,,8.5,0.0,4.5,.000,,,,0.0,4.5,.000,.000,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,,0.5,0.0,1977
Bingo Smith,SF,30,CLE,3,,19.0,3.0,13.0,.231,,,,3.0,13.0,.231,.231,1.0,1.0,1.000,1.0,1.7,2.7,1.3,1.0,0.3,,1.7,7.0,1977
Elmore Smith,C,27,CLE,3,,18.7,6.0,11.0,.545,,,,6.0,11.0,.545,.545,1.7,2.7,.625,2.0,6.0,8.0,0.3,1.7,1.0,,3.3,13.7,1977
Phil Smith,SG,24,GSW,10,,37.1,5.3,13.2,.402,,,,5.3,13.2,.402,.402,3.6,4.5,.800,1.0,4.0,5.0,4.5,1.4,0.4,,2.4,14.2,1977
Dick Snyder,SG,32,CLE,3,,17.7,2.7,9.0,.296,,,,2.7,9.0,.296,.296,0.7,1.7,.400,0.7,1.0,1.7,1.3,0.3,0.7,,2.0,6.0,1977
Kevin Stacom,SG,25,BOS,5,,5.0,0.6,1.2,.500,,,,0.6,1.2,.500,.500,0.2,0.2,1.000,0.0,0.4,0.4,0.8,0.0,0.0,,0.6,1.4,1977
Larry Steele,SG,27,POR,18,,14.5,1.4,3.9,.371,,,,1.4,3.9,.371,.371,1.3,1.8,.750,0.7,0.8,1.5,1.0,0.5,0.0,,1.7,4.2,1977
Earl Tatum,SG,23,LAL,11,,32.4,6.1,12.2,.500,,,,6.1,12.2,.500,.500,1.5,2.2,.667,1.5,3.5,4.9,2.5,1.4,0.8,,3.1,13.6,1977
Fatty Taylor,PG,30,DEN,1,,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1977
