Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
Lee Winfield,PG,27,BUF,6,65,10.7,0.467,,0.313,7.9,5.1,6.5,18.3,1.4,0.8,,,0,0,0,0.032,-0.7,-0.2,-0.9,0,1975
Harthorne Wingo,PF,27,NYK,3,76,16.7,0.493,,0.435,13.5,17.8,15.8,15.1,2.6,0,,,0.1,0,0.1,0.059,-0.2,-0.2,-0.5,0,1975
Dave Wohl,PG,25,HOU,4,8,35.3,1,,0,0,14.2,7.1,47.5,5.8,0,,,0.1,0,0.1,0.388,7.6,10,17.6,0,1975
Zaid Abdul-Aziz,C,29,SEA,5,60,25.2,0.725,,0.55,7.7,34.1,20.7,5.3,0,4.6,,,0.3,0,0.3,0.245,6,1.6,7.6,0.1,1976
Alvan Adams,C,21,PHO,19,668,19.8,0.503,,0.271,8.5,22.5,15.4,23,1.7,1.6,,,0.7,0.9,1.7,0.122,3.1,0.9,4.1,1,1976
Don Adams,SF,28,BUF,9,122,9.7,0.461,,0.194,7.4,16.1,11.9,14.6,0.8,0,,,0,0.1,0,0.014,-3.6,-0.6,-4.2,-0.1,1976
Jerome Anderson,SG,22,BOS,4,5,10.9,0.333,,0,21.4,0,10.6,33.1,0,0,,,0,0,0,-0.158,-0.9,-3.8,-4.7,0,1976
Jim Ard,C,27,BOS,16,110,11.1,0.526,,0.483,9.7,15.4,12.6,10.6,0.4,1.5,,,0,0.2,0.2,0.089,-3.4,0.7,-2.6,0,1976
Dennis Awtrey,C,27,PHO,19,286,9.7,0.504,,0.733,6.2,17.7,11.8,11.4,0.8,1.7,,,0,0.3,0.3,0.051,-1.5,0.8,-0.8,0.1,1976
Mike Bantom,SF,24,SEA,6,114,17.1,0.62,,0.526,9.1,14.8,11.9,10.6,1.6,1,,,0.2,0,0.2,0.096,-1.7,0.5,-1.2,0,1976
Rick Barry*,SF,31,GSW,13,532,20.9,0.489,,0.235,3.8,12.7,8.2,23,3.3,1.4,,,1,0.7,1.7,0.151,3.4,0.9,4.3,0.8,1976
Dave Bing*,PG,32,WSB,7,209,17.4,0.525,,0.461,3.3,5.5,4.5,23.4,1.7,0.5,,,0.3,0.3,0.5,0.123,2.8,-0.8,2,0.2,1976
Tom Boswell,PF,22,BOS,3,3,8.2,0.5,,0,0,35.3,17.7,0,0,0,,,0,0,0,-0.263,-15.2,0.1,-15.1,0,1976
Jim Brewer,PF,24,CLE,13,489,12.7,0.467,,0.475,8.3,22.9,15.3,10.9,1.3,1.4,,,0.2,0.9,1.2,0.114,1.2,1,2.2,0.5,1976
Junior Bridgeman,SF,22,MIL,3,67,11,0.503,,0.55,8.9,10.9,10.1,10,0.7,0,,,0,0,0,-0.02,-3.4,-1.8,-5.2,-0.1,1976
Gary Brokaw,SG,22,MIL,3,108,24.2,0.701,,0.486,0,10.6,6.2,33.2,1.3,1.3,,,0.5,0,0.4,0.199,4.1,0.6,4.7,0.2,1976
Fred Brown,SG,27,SEA,6,236,22.2,0.561,,0.331,5.9,8.2,7,12.6,2.5,0,,,0.8,0,0.8,0.159,2.8,0,2.8,0.3,1976
Roger Brown,C,25,DET,9,51,7.7,0.465,,0.444,15,14.9,15,4.6,0,1,,,0,0,0,-0.019,-4.3,-1.6,-6,-0.1,1976
Joe Bryant,PF,21,PHI,3,43,20,0.763,,0.583,7.3,26.3,16.4,3.4,1.1,1.3,,,0.2,0,0.2,0.24,1.5,1.6,3.1,0.1,1976
Tom Burleson,C,23,SEA,6,208,22.4,0.656,,0.613,8.3,24.3,16.2,7.5,1.3,2.1,,,0.7,0.1,0.8,0.188,2.6,0.7,3.3,0.3,1976
Austin Carr,SG,27,CLE,13,273,16.7,0.501,,0.261,4.1,4.9,4.5,17.5,1.1,0.6,,,0.4,0.3,0.6,0.114,3.1,-0.9,2.2,0.3,1976
Fred Carter,PG,30,PHI,3,125,20.3,0.524,,0.448,3.4,5.4,4.4,18.4,1.5,0.5,,,0.4,0,0.5,0.175,3.6,-1.2,2.4,0.1,1976
Harvey Catchings,C,24,PHI,3,87,14,0.594,,0.231,14.5,20.8,17.5,8.7,0,6,,,0.2,0.1,0.2,0.126,2,1.7,3.7,0.1,1976
,,,,,,,,,,,,,,,,,,,,,,,,,,1976
Ken Charles,SG,24,BUF,9,238,6.8,0.436,,0.236,2.8,8.7,5.9,7.7,1.4,1.3,,,-0.2,0.1,0,-0.01,-4,0.6,-3.4,-0.1,1976
Phil Chenier,SG,25,WSB,7,265,12.8,0.465,,0.133,2.6,7.2,5.1,7.9,1.1,0.6,,,-0.1,0.4,0.3,0.054,-0.5,-1.2,-1.6,0,1976
Jim Chones,C,26,CLE,7,242,11.4,0.431,,0.158,5.9,16.6,11,4.2,0.2,1.5,,,-0.1,0.3,0.2,0.042,-0.6,-1.8,-2.3,0,1976
Archie Clark,SG,34,DET,9,192,12.8,0.515,,0.29,1.1,10.8,6,19.5,1.4,0,,,0.2,-0.1,0.1,0.026,-2.8,-0.2,-2.9,0,1976
Jim Cleamons,PG,26,CLE,13,503,12.6,0.444,,0.217,4.7,10.7,7.5,18.9,0.8,0.3,,,0.2,0.6,0.8,0.075,0.6,-1,-0.4,0.2,1976
Doug Collins,SG,24,PHI,3,117,16.9,0.49,,0.264,11.7,7.7,9.8,12.4,1.2,0.5,,,0.3,0,0.3,0.13,3.4,-1.5,1.9,0.1,1976
Dave Cowens*,C,27,BOS,18,798,18.9,0.498,,0.255,11.7,27.8,19.7,17.1,1.3,0.9,,,1,1.7,2.7,0.163,3.6,0.7,4.3,1.3,1976
Bob Dandridge,SF,28,MIL,3,122,17.2,0.571,,0.408,3.7,17.1,11.6,9.6,1.1,0,,,0.2,0,0.2,0.098,-0.1,-1,-1,0,1976
Dwight Davis,PF,26,GSW,11,142,12,0.536,,0.595,6.4,14.2,10.2,8.7,1,1.5,,,0.2,0.1,0.3,0.086,-2.4,-0.4,-2.9,0,1976
Rod Derline,SG,23,SEA,4,41,1.7,0.276,,0.2,2.8,8.8,5.8,3,1.1,0,,,-0.1,0,-0.1,-0.111,-7.5,-1.3,-8.8,-0.1,1976
Henry Dickerson,SG,24,DET,5,15,24.7,0.455,,0.222,29.1,0,14.5,30.2,3,0,,,0,0,0,0.084,6.3,-0.9,5.4,0,1976
